categories


manufacturers


characteristics


products
"Название","Цена","Описание","category_id","manufacturer_id","Вес","SKU","Количество_на_складе","Дата_создания","Дата_обновления"
"Продукт 1","101.00","Описание продукта 1","2","2","0.60","SKU_1","10","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 2","102.00","Описание продукта 2","3","3","0.70","SKU_2","20","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 3","103.00","Описание продукта 3","4","4","0.80","SKU_3","30","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 4","104.00","Описание продукта 4","5","5","0.90","SKU_4","40","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 5","105.00","Описание продукта 5","1","1","1.00","SKU_5","50","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 6","106.00","Описание продукта 6","2","2","1.10","SKU_6","60","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 7","107.00","Описание продукта 7","3","3","1.20","SKU_7","70","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 8","108.00","Описание продукта 8","4","4","1.30","SKU_8","80","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 9","109.00","Описание продукта 9","5","5","1.40","SKU_9","90","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 10","110.00","Описание продукта 10","1","1","1.50","SKU_10","100","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 11","111.00","Описание продукта 11","2","2","1.60","SKU_11","110","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 12","112.00","Описание продукта 12","3","3","1.70","SKU_12","120","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 13","113.00","Описание продукта 13","4","4","1.80","SKU_13","130","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 14","114.00","Описание продукта 14","5","5","1.90","SKU_14","140","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 15","115.00","Описание продукта 15","1","1","2.00","SKU_15","150","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 16","116.00","Описание продукта 16","2","2","2.10","SKU_16","160","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 17","117.00","Описание продукта 17","3","3","2.20","SKU_17","170","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 18","118.00","Описание продукта 18","4","4","2.30","SKU_18","180","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 19","119.00","Описание продукта 19","5","5","2.40","SKU_19","190","2024-11-18 00:00:00","2024-11-18 00:00:00"
"Продукт 20","120.00","Описание продукта 20","1","1","2.50","SKU_20","200","2024-11-18 00:00:00","2024-11-18 00:00:00"

product_characteristics


product_images


reviews
